,F_r,F_t,ThL,N,a,lens_id,z_use,name,f435w-f606w,f435w-f814w,f814w-f606w,rchi2,SNR,lens_Mag_F814W,lens_z
0,-0.25707489834157443,-0.094758074597371,19.28370924463146,1.0,0.35219657530693166,9.0,1.0343,abell2744_150,1.2308999999999983,1.6704999999999968,-0.43959999999999866,1.165470948187681,76.02258817662526,-21.67309066646366,0.3188
1,-0.08130915613514701,-0.2616398616176863,25.05296524496807,2.0,0.35219657530693166,12.0,1.0343,abell2744_150,1.2308999999999983,1.6704999999999968,-0.43959999999999866,1.165470948187681,76.02258817662526,-22.374514172418177,0.317
2,0.1473010600382759,-0.006004931453423179,29.085076314758847,1.0,0.614914357710525,3.0,2.3865,abell2744_329,1.1965000000000003,1.2091999999999992,-0.012699999999998823,0.33587653121606703,49.09982006437538,-21.596352820036444,0.3057
4,-0.22665416789434994,-0.19416553261988906,23.6845406613224,1.0,0.6180987639375503,3.0,0.8681,abell2744_394,1.004800000000003,1.2081000000000015,-0.2032999999999987,1.23834081354719,85.10684012856916,-21.596352820036444,0.3057
5,0.15499908815817273,0.00492328931306204,26.768269659193688,1.0,0.34097074307670083,3.0,0.3198,abell2744_419,2.1563000000000017,2.2621,-0.10579999999999856,0.2613098013320782,60.64036966677236,-21.596352820036444,0.3057
6,0.44325579912251434,0.07450297867334385,19.552074793499596,1.0,0.27759198647982686,3.0,0.6407,abell2744_438,1.3545000000000016,1.4101999999999997,-0.055699999999998084,0.2611813340641704,21.98836332635864,-21.596352820036444,0.3057
7,-0.15855838270812495,0.08791062347220983,20.45404983938582,1.0,0.6502862974343782,3.0,0.6286,abell2744_442ep1,1.4535000000000018,1.5280000000000022,-0.07450000000000045,0.37596721427706753,44.85646843652864,-21.596352820036444,0.3057
8,0.21930765100699956,0.035217501086542806,12.049254046281648,1.0,0.20089955626206943,3.0,1.9143,abell2744_457,0.9909,0.42520000000000013,0.5656999999999996,0.2903198295369168,36.57837845282064,-21.596352820036444,0.3057
12,-0.17475566738097692,-0.3273955217113634,26.93303835387132,1.0,0.30638147895843976,0.0,0.4008,abell2744_465,1.881499999999999,2.3294,-0.44790000000000063,0.26117667549392515,23.85260209157714,-21.784452308939155,0.3177
13,-0.3191179148169085,0.05624032442762038,9.111989940997036,1.0,0.23597701465314017,0.0,0.8145,abell2744_477,1.0403999999999982,1.5745000000000005,-0.5341000000000022,0.3295563804436917,30.904761778054514,-21.784452308939155,0.3177
15,0.22680592606938074,-0.09098315726966477,11.957421485297248,1.0,0.27309099772677287,3.0,0.3504,abell2744_501,1.8800999999999988,2.1129999999999995,-0.2329000000000008,0.21110451993604962,21.379743862647217,-21.596352820036444,0.3057
16,0.014422981890835507,-0.6914374941316557,10.543343025794721,1.0,0.19578131769261126,0.0,0.3969,abell2744_520,2.0324999999999993,1.9124999999999976,0.12000000000000098,0.3044955054885887,31.301559133607796,-21.784452308939155,0.3177
17,-0.19411083029959578,-0.4711785471294575,14.474935983918924,1.0,0.25770853157581736,0.0,0.4591,abell2744_533,1.4446999999999974,1.4116999999999995,0.0329999999999977,0.30669510077272694,31.73487054229422,-21.784452308939155,0.3177
18,-0.19478026905801218,0.04339351435877648,10.171474327000247,1.0,0.28934294104598574,0.0,0.4792,abell2744_546,2.070800000000002,2.3153000000000006,-0.2444999999999986,0.8162175074786973,108.70125992902271,-21.784452308939155,0.3177
19,-0.026655061640403554,-0.011262215461538215,15.175022353166446,1.0,0.6638643862751737,0.0,0.4999,abell2744_669ep1,1.7663000000000009,1.9079000000000013,-0.1416000000000004,18.96081815800154,735.5241373731562,-21.784452308939155,0.3177
20,-0.0929320476574873,0.0006074842884583719,27.112728266692706,1.0,0.407371401094798,0.0,1.0436,abell2744_682ep1,1.2440999999999995,1.5341000000000022,-0.2900000000000027,0.3737776860982745,65.18287935969143,-21.784452308939155,0.3177
21,0.4928662306820117,0.19397234365150742,15.322623541332064,1.0,0.5122409550468012,0.0,1.3116,abell2744_707,1.456900000000001,1.8351000000000008,-0.3781999999999997,0.3466543342398905,29.810935532227106,-21.784452308939155,0.3177
37,0.03241881999331483,-0.1246051448705084,21.69816977228249,1.0,0.32331293757494367,0.0,0.468,abell2744_788,1.709500000000002,1.7683,-0.058799999999997965,0.3002364189934593,47.502482526111486,-21.784452308939155,0.3177
38,0.11989080545524408,0.06809939243834257,12.198706755797714,1.0,0.34983090230688896,47.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-22.446613663052812,0.3154
39,-0.12481721893757333,0.05858322575506111,12.250559593504818,2.0,0.34983090230688896,46.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-23.845057374559016,0.3187
40,-0.09713875322887568,0.09785394782183376,12.485617521686356,3.0,0.34983090230688896,33.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-22.440581701827018,0.3155
41,0.13478053008126806,0.02907819104055437,16.142043686366133,4.0,0.34983090230688896,21.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-23.466283170969017,0.2998
42,-0.13787829383661476,-0.0009531903706447464,16.34715391051644,5.0,0.34983090230688896,57.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-20.577498406728303,0.3191
43,0.13044144655946427,0.044680661394533985,18.439262750766886,6.0,0.34983090230688896,22.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-22.105665063479204,0.3224
44,-0.11660756361811614,-0.07357994693002687,19.415485636811496,7.0,0.34983090230688896,29.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-20.481137734357674,0.3176
45,0.11035992464613559,0.08265603133031402,21.058689967445446,8.0,0.34983090230688896,26.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-21.85823293632915,0.3178
46,0.03245223060103106,0.13400815352879122,22.409374656930638,9.0,0.34983090230688896,34.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-21.422114950139488,0.3099
47,0.1378789670032784,-0.0008502595412212353,22.680656773938907,10.0,0.34983090230688896,60.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-21.331494740390074,0.3202
48,-0.11204363438134668,-0.08035892282626542,23.478336723232623,11.0,0.34983090230688896,64.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-20.39555093820734,0.3259
49,-0.11354788451624899,0.07821899005397062,24.074266800815842,12.0,0.34983090230688896,38.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-20.850392932757295,0.3181
50,0.13126857073223655,0.042188799711468224,26.992818400743456,13.0,0.34983090230688896,56.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-22.42003549125634,0.3135
51,0.11615581800146434,0.07429103867620418,28.21941096476806,14.0,0.34983090230688896,23.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-22.505206069197563,0.3029
52,0.13705768708065622,-0.015050677568784112,28.275118201172482,15.0,0.34983090230688896,17.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-21.085696139449514,0.2986
53,0.10717799275562115,0.08674220628998659,29.252884854238186,16.0,0.34983090230688896,27.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-21.37259247386929,0.3022
54,-0.10160999097240592,0.0932026942623772,29.424878955631513,17.0,0.34983090230688896,58.0,0.3201,abell2744_828ep1,2.2695000000000007,2.5720000000000027,-0.302500000000002,0.3430360978803245,32.71452434775619,-20.284777473777023,0.3206
55,-0.23803253693889867,-0.28159343311158347,6.3505651395670295,1.0,0.5806240686000029,11.0,1.3465,abell2744_977,1.0460999999999991,0.7269000000000005,0.3191999999999986,0.3497866365861436,34.56390878228428,-21.661818631965023,0.3174
56,0.3659871355634558,-0.044808111042451484,16.993865330856917,2.0,0.5806240686000029,51.0,1.3465,abell2744_977,1.0460999999999991,0.7269000000000005,0.3191999999999986,0.3497866365861436,34.56390878228428,-21.795131773742774,0.3157
57,0.003855577368656027,-0.36869972163847686,17.258720171642654,3.0,0.5806240686000029,55.0,1.3465,abell2744_977,1.0460999999999991,0.7269000000000005,0.3191999999999986,0.3497866365861436,34.56390878228428,-20.710229911722102,0.319
58,0.16303500742236743,-0.33071730612099004,24.316629642465255,4.0,0.5806240686000029,17.0,1.3465,abell2744_977,1.0460999999999991,0.7269000000000005,0.3191999999999986,0.3497866365861436,34.56390878228428,-21.085696139449514,0.2986
59,0.20319108013446502,-0.3076812232927538,29.49511788898931,5.0,0.5806240686000029,60.0,1.3465,abell2744_977,1.0460999999999991,0.7269000000000005,0.3191999999999986,0.3497866365861436,34.56390878228428,-21.331494740390074,0.3202
