,id,X_IMAGE,Y_IMAGE,ra,dec,z_use,f_F814W,f_F606W,f_F435W,e_F814W,e_F606W,e_F435W,mag_F814W,band,xl,yl,mag_AB_F814w
9379,20069,9767.207870118847,3296.6589565688487,3.5394930000000002,-30.411329,0.3177,211.34900000000002,101.271,23.1555,1.39247,0.572749,0.974601,19.187499506747443,bcg,293.0162361035654,98.89976869706545,19.187499506747443
9381,20071,8244.736504263883,7497.129808467229,3.554215,-30.376329,0.3093,1291.33,574.571,105.62100000000001,9.611880000000001,5.04079,3.43192,17.222406898468186,bcg,247.34209512791648,224.91389425401687,17.222406898468186
9380,20070,8241.037142812296,6806.77259572671,3.554249,-30.382082,0.3098,455.70099999999996,203.09599999999998,38.9496,8.23597,2.7629099999999998,3.27631,18.353300045978564,bcg,247.23111428436889,204.2031778718013,18.353300045978564
7002,7003,8122.492140273873,6499.506591907464,3.5553934000000003,-30.3846428,0.3007,71.7372,33.5781,6.65826,0.135402,0.0361812,0.0314527,20.360638946076552,f814w,243.67476420821617,194.98519775722392,20.360638946076552
8360,8361,8095.372138838405,8094.812798784864,3.5556592000000005,-30.371348600000005,0.3066,103.12299999999999,45.3783,8.13875,0.390623,0.0499464,0.061311300000000006,19.96661115301139,f814w,242.86116416515213,242.8443839635459,19.96661115301139
6889,6890,8025.479654629085,6215.574342414834,3.5563298999999997,-30.3870091,0.3115,135.184,62.3155,12.2128,0.217754,0.044488099999999996,0.0340171,19.672686768081174,f814w,240.76438963887256,186.46723027244502,19.672686768081174
9378,20068,7947.059745324248,3364.1719983017156,3.5570809999999997,-30.410771,0.3057,191.957,90.588,19.7372,1.52093,0.592771,0.8344379999999999,19.291990115144866,bcg,238.41179235972743,100.92515994905146,19.291990115144866
703,704,7885.409624577218,2141.820846667044,3.557674,-30.420957399999995,0.3084,161.915,80.3476,25.5648,1.04911,0.157723,0.22820300000000002,19.476782289551593,f814w,236.56228873731652,64.25462540001132,19.476782289551593
6252,6253,7638.162510594417,5936.41884821838,3.5600709999999998,-30.389336100000005,0.2909,31.0165,15.8406,3.7443400000000002,0.146053,0.0317551,0.0296947,21.271018027302645,f814w,229.1448753178325,178.0925654465514,21.271018027302645
8029,8030,7654.73572848687,7321.13971609854,3.5599137,-30.3777967,0.3229,283.677,129.825,33.58,0.735268,0.09716269999999999,0.104423,18.86793968640047,f814w,229.64207185460612,219.6341914829562,18.86793968640047
8061,8062,7589.226278780192,7629.179861764819,3.5605471,-30.3752298,0.3165,111.075,46.3551,7.71661,0.36489499999999997,0.0409098,0.0440663,19.88595919521773,f814w,227.67678836340576,228.87539585294456,19.88595919521773
8882,8883,7546.327356181155,9035.692425436173,3.5609642,-30.3635089,0.306,552.113,251.58900000000003,46.3328,1.03863,0.13911800000000002,0.144327,18.144930067207632,f814w,226.38982068543464,271.0707727630852,18.144930067207632
3854,3855,7385.899741237594,4368.94682921901,3.5625052000000004,-30.4023988,0.3025,111.98299999999999,49.2608,8.78186,0.13103199999999998,0.0366345,0.027265699999999997,19.87711975507826,f814w,221.5769922371278,131.0684048765703,19.87711975507826
