,F_r,F_t,ThL,N,a,lens_id,z_use,name,f435w-f606w,f435w-f814w,f814w-f606w,rchi2,SNR,lens_Mag_F814W,lens_z
0,-0.15721938793375115,-0.03424316056825741,28.76471616185628,1.0,0.452423907899361,10.0,0.3737,abell2744_321,2.1544999999999987,2.3684999999999974,-0.21399999999999866,0.3341794736777483,27.00656509888545,-19.842829409133113,0.2863
1,-0.6000948607486298,0.21187373857237088,27.999812250949432,1.0,0.20330988779337056,6.0,1.1751,abell2744_341,0.9510000000000004,1.0791000000000004,-0.12809999999999988,0.271919395493847,24.00760269610445,-21.06032994295848,0.314
3,-0.1907412778022571,0.18492230224022205,28.276343247455536,1.0,0.23654847140508542,6.0,4.1369,abell2744_386,72.6237,72.7296,-0.10590000000000188,0.4483593578449324,34.725497294966104,-21.06032994295848,0.314
4,-0.4283025742957642,-0.43333897997928505,21.009030744620187,1.0,0.23255765104144907,10.0,3.6723,abell2744_389,3.0214,3.094999999999999,-0.07359999999999901,1.128274367438841,57.20812807751055,-19.842829409133113,0.2863
7,0.053164374515777525,-0.03075430939868717,29.407905080170767,1.0,0.426395024593703,7.0,0.4973,abell2744_402,2.9093999999999984,3.3603999999999985,-0.4510000000000005,0.3893533159920007,77.76946099579969,-20.347276772733533,0.3866
8,0.8609906843555437,-0.45850680367690405,27.253220676026984,1.0,0.2022653913873416,6.0,2.7727,abell2744_427,1.5713999999999968,1.3284999999999982,0.2428999999999988,0.6857367961177359,42.008121020203156,-21.06032994295848,0.314
9,0.38598429964137476,0.6039975713297708,18.998905736683337,1.0,0.34109630447644074,6.0,2.1068,abell2744_439,0.9174000000000008,0.4028999999999989,0.5145000000000017,0.7229995303507872,76.18274056845452,-21.06032994295848,0.314
12,-0.040689318193060174,-0.4634121022736584,26.39803939281745,1.0,0.2655474556212665,7.0,0.9861,abell2744_464,1.0092999999999996,1.0356999999999985,-0.02639999999999887,0.4857844368823623,56.20657124575734,-20.347276772733533,0.3866
13,0.4177967949485127,-0.20457818866990257,29.96969463808904,2.0,0.2655474556212665,6.0,0.9861,abell2744_464,1.0092999999999996,1.0356999999999985,-0.02639999999999887,0.4857844368823623,56.20657124575734,-21.06032994295848,0.314
15,0.4604747050651495,0.9414552465051547,26.33413845171563,1.0,0.26498037258749707,7.0,1.7637,abell2744_471,0.8663999999999987,0.3184000000000005,0.5479999999999983,4.013553208577105,145.57005395308238,-20.347276772733533,0.3866
17,-0.13040591704397683,-0.0241242421870573,14.038436400660691,1.0,0.39364045848195195,6.0,2.5218,abell2744_492,1.1326999999999998,0.7185999999999986,0.4141000000000013,0.6946050885208362,68.42449513956174,-21.06032994295848,0.314
18,-0.04903108913882011,-0.1232218915576345,26.639070008801138,2.0,0.39364045848195195,10.0,2.5218,abell2744_492,1.1326999999999998,0.7185999999999986,0.4141000000000013,0.6946050885208362,68.42449513956174,-19.842829409133113,0.2863
19,-0.3482990482567813,-0.009684398242075976,15.16577835752456,1.0,0.31909181333876663,10.0,0.3801,abell2744_526,1.7495000000000012,1.832699999999999,-0.08319999999999794,0.32449830264441953,23.047211411544794,-19.842829409133113,0.2863
21,-0.0046560816675650304,0.034278261462521206,10.256485471462717,1.0,0.49633322870904156,6.0,0.8675,abell2744_553,2.523699999999998,3.584299999999999,-1.0606000000000009,0.3896294258363685,94.20330713789488,-21.06032994295848,0.314
22,-0.03291490743663359,-0.01064364476229096,18.34793532224622,2.0,0.49633322870904156,10.0,0.8675,abell2744_553,2.523699999999998,3.584299999999999,-1.0606000000000009,0.3896294258363685,94.20330713789488,-19.842829409133113,0.2863
23,-0.6397390909424869,0.07045080667722689,12.039980220652872,1.0,0.23515201463260277,6.0,3.2914,abell2744_561,1.8659,1.5440000000000005,0.3218999999999994,0.8969654112369265,56.17118341064869,-21.06032994295848,0.314
