,NAME,z_use,X_WORLD,Y_WORLD,SNR,FROM,epoch,f435w-f606w,f435w-f814w,f814w-f606w,mag_F814W,xc,yc,ns,rs,q,phi,psi11,psi12,psi22,psi111,psi112,psi122,psi222,err_xc,err_yc,err_ns,err_rs,err_q,err_phi,err_psi11,err_psi12,err_psi22,err_psi111,err_psi112,err_psi122,err_psi222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis,a_pix,G1_fit,G2_fit,f1,f2,g1,g2,F,F_pix,G,stamp-size,X_IMAGE,Y_IMAGE,xs,ys,overlap_flag
0,macs0416_37,0.5362,64.02682251,-24.10858977,28.31063428,f814w_w_f814w,1,1.1782,1.0761,0.1021,26.72917067,-1.493125443,-1.897080985,1.287730427,0.962277,1.986501093,1.105512012,0,0,0,-0.030246976,0.027812085,0.002960321,0.002912033,0.049294354,0.071438444,0.023194205,0.022526201,0.072719618,0.022679266,0,0,0,0.010062605,0.006206592,0.005712909,0.006811583,0.34688159,-0.013643327,0.015362059,0.191444956,-16.82692699,-4.702908878,19.66478643,22.25356964,0.000249848,5.55E-05,0,0,0.000261262,0.000309094,0.338741563,-1.883390847,6.381498544,-0.019563969,0.040262111,-0.454777578,0.512068644,-0.652132302,1.342070365,0.684862717,0.020545882,1.492122449,39,5788.396225,610.3532831,173.6518868,18.31059849,0
4,macs0416_63,1.7797,64.02025956,-24.10746084,34.26789967,f606w_w_f814w,1,0.816,0.2395,0.5765,26.04698391,-3.265102771,-1.814287205,1.884588403,0.203032506,1.28871544,-0.134450721,0,0,0,0.088445871,0.009344938,0.001533156,0.061466483,0.020250914,0.016933846,0.020336202,0.005471611,0.034753102,0.073075568,0,0,0,0.003415201,0.004788762,0.007386029,0.008168944,0.677179711,0.044989513,0.03540571,0.151281813,54.67451388,8.977244318,-1.737338835,8.109075188,0.020294908,0.019079576,0,0,0.000301567,0.000315535,0.092617671,-1.987304352,5.042727116,0.041923202,-0.016715834,1.49965044,1.180190347,1.397440067,-0.557194469,1.908350256,0.057250508,1.504428269,31,6507.270597,745.7550513,195.2181179,22.37265154,0
5,macs0416_68,0.4749,64.02451167,-24.10707768,44.66011014,f814w_w_f814w,1,1.9042,2.3522,-0.448,25.44049636,-1.562368441,-1.2309328,1.102233877,3.233403365,1.117744725,-0.078522115,0,0,0,-0.00163151,-0.002995153,0.00086342,0.003008046,0.069963128,0.065564665,0.01385864,0.047572092,0.023235237,0.093153523,0,0,0,0.003524262,0.00255163,0.00262385,0.00380067,0.315128054,-0.000384045,6.45E-06,0.286934306,10.10497472,-6.057376909,-28.27989516,-2.05487131,-0.001255206,-0.000309955,0,0,0.000224616,0.000300404,0.591404691,-1.646653809,9.564476855,-0.002110885,-0.005996752,-0.012801507,0.000214889,-0.070362836,-0.199891742,0.012803311,0.000384099,0.211914221,63,6041.525954,791.7827066,181.2457786,23.7534812,0
8,macs0416_79,2.6677,64.02389913,-24.10668454,40.85370347,f606w_w_f814w,1,1.0147,0.5553,0.4594,25.51485046,-1.700752485,-1.137335348,0.746884226,2.233707404,2.659474815,0.808282347,0,0,0,0.038277314,-0.018365005,-0.010822963,-0.00590208,0.061730023,0.068945187,0.012061214,0.023908327,0.054291794,0.010101907,0,0,0,0.004114453,0.003662977,0.003758162,0.004347336,0.748250296,0.013727176,-0.012133543,0.231797049,75.3998925,-2.028361408,-58.09411624,-72.29777994,0.000146435,-0.001237571,0,0,0.000297858,0.000313174,0.102489359,-1.985137325,7.726568315,0.035373101,-0.024596467,0.457572523,-0.404451423,1.179103365,-0.819882241,0.610699245,0.018320977,1.436137749,49,6108.624382,838.953843,183.2587314,25.16861529,0
10,macs0416_89,1.1877,64.02753974,-24.10638383,21.38288359,f606w_w_f814w,1,0.9728,0.8367,0.1361,26.17516393,-1.908670818,-0.948118253,1.120952756,2.491378956,1.312349697,-0.828698555,0,0,0,-0.010561751,-0.031305128,0.003793303,0.02211252,0.072782652,0.078714515,0.01900788,0.050481397,0.039798931,0.051836096,0,0,0,0.005227684,0.003133226,0.003474226,0.00472191,0.395080292,-0.003384224,-0.004596304,0.258111035,-69.97034532,-65.24522019,4.746401878,98.08205085,-0.00613726,0.008061962,0,0,0.000274985,0.000310706,0.245806327,-1.937683894,8.60370116,-0.010970831,-0.058013953,-0.112807459,-0.153210131,-0.365694357,-1.933798427,0.190259999,0.0057078,1.968072335,52,5709.854238,875.0707584,171.2956271,26.25212275,0
12,macs0416_95,0.5658,64.0207924,-24.10606018,74.18179589,f606w_w_f814w,1,1.7813,1.9078,-0.1265,24.52401666,-1.7438975,-2.605488835,0.923198491,2.018189531,1.662741636,1.474666671,0,0,0,0.004133156,0.008864111,0.004039452,0.030283132,0.011025145,0.014664597,0.003493691,0.007110435,0.009719537,0.005387325,0,0,0,0.002317185,0.001040042,0.000743313,0.000907075,1.782553623,0.004086304,0.019573622,0.189969353,11.32648028,1.549409376,6.387699918,13.06855737,0.00567665,0.002351568,0,0,0.000246451,0.000307675,0.448860329,-1.795532658,6.33231175,-0.003992599,-0.001845399,0.136210124,0.652454065,-0.133086648,-0.0615133,0.666520446,0.019995613,0.146614945,44,6448.926131,913.8413176,193.4677839,27.41523953,0
20,macs0416_134,2.5539,64.036608,-24.10513341,27.99096737,f814w_w_f814w,1,1.2747,1.0183,0.2564,26.43061548,-2.074180104,-2.339451743,0.644213264,3.394596869,1.343035179,1.40331065,0,0,0,0.02835347,0.000328978,0.022447508,0.012010041,0.079519793,0.093821996,0.016875438,0.057298395,0.038297877,0.052456915,0,0,0,0.009556416,0.005888935,0.005216323,0.006453732,0.449583553,0.025400489,0.006169509,0.172775429,9.160672966,2.100107828,12.66696482,-0.333829135,0.011566057,-0.003006482,0,0,0.000241308,0.000307832,0.492810572,-1.755013556,5.759180957,-0.019494527,-0.005511554,0.846682962,0.205650317,-0.649817578,-0.183718478,0.87130023,0.026139007,0.675289096,41,4716.56653,1025.157513,141.4969959,30.75472539,0
21,macs0416_151,0.4664,64.02834776,-24.10389319,33.7709643,f606w_w_f814w,1,2.5569,2.8553,-0.2984,24.25860027,-1.230347878,-1.334677387,1.337502197,3.952042805,1.146852743,-1.621051758,0,0,0,-0.004750899,0.003899829,0.004096198,-0.004682327,0.005280929,0.009530677,0.007216286,0.029810386,0.011377407,0.035136882,0,0,0,0.000849449,0.006023676,0.001247602,0.005871023,0.38135824,-0.000327351,-0.000391249,0.494251222,-118.28579,5.148029377,96.34965931,276.4798874,-6.28E-05,0.002189741,0,0,0.000271648,0.000310135,0.26684127,-1.92663295,16.47504073,-0.008519746,0.008190906,-0.010911686,-0.013041635,-0.283991528,0.273030212,0.017004386,0.000510132,0.393950105,104,5621.366412,1173.953892,168.6409923,35.21861675,0
23,macs0416_158,0.9154,64.02656218,-24.10380676,44.40759121,f606w_w_f814w,1,1.2107,1.4203,-0.2096,24.50779173,-0.273059071,0.278454361,1.085080643,2.079504491,2.849103269,0.777712901,0,0,0,-0.011391311,0.001775074,-0.002233015,-0.019569488,0.025999683,0.033151401,0.017627081,0.013255453,0.04294581,0.00424279,0,0,0,0.000615132,0.000645555,0.00216686,0.002521849,0.633452588,-0.006812163,-0.008897207,0.3993292,-112.3303736,-80.5170292,-137.9927934,-291.220346,-0.002082601,-0.003040603,0,0,0.000309602,0.000312812,0.022089374,-1.996577441,13.31097335,-0.002346133,0.012447354,-0.227072093,-0.296573567,-0.078204429,0.414911815,0.37352057,0.011205617,0.422217654,77,5816.953668,1184.312312,174.50861,35.52936935,0
25,macs0416_166,1.7662,64.02898835,-24.10358575,38.07195069,f606w_w_f814w,1,0.9449,0.8316,0.1133,25.19465445,-0.917038865,-0.506224548,0.73015977,3.194250511,2.879496284,1.057487355,0,0,0,-0.000853988,-0.003332093,0.001750036,-0.017897218,0.079755102,0.096125776,0.008894793,0.026055814,0.041487633,0.006007823,0,0,0,0.002619392,0.000971449,0.000599991,0.001156789,0.56177421,0.000448024,-0.010614655,0.323958263,73.55221989,15.70352445,25.02453882,-5.950913027,0.008239814,-0.00233125,0,0,0.000288819,0.000312113,0.156387098,-1.973314538,10.79860877,-0.003052048,0.00395047,0.014934129,-0.353821843,-0.101734927,0.131682324,0.354136873,0.010624106,0.166403816,66,5551.200696,1210.85043,166.5360209,36.32551291,0
