,NAME,z_use,X_WORLD,Y_WORLD,SNR,FROM,epoch,f435w-f606w,f435w-f814w,f814w-f606w,mag_F814W,xc,yc,ns,rs,q,phi,psi11,psi12,psi22,psi111,psi112,psi122,psi222,err_xc,err_yc,err_ns,err_rs,err_q,err_phi,err_psi11,err_psi12,err_psi22,err_psi111,err_psi112,err_psi122,err_psi222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis,a_pix,G1_fit,G2_fit,f1,f2,g1,g2,F,F_pix,G,stamp-size,X_IMAGE,Y_IMAGE,xs,ys,overlap_flag
2,macs0416_52,2.2286,64.12006436,-24.14581249,52.62121799,f606w_w_f814w,2,1.1333,0.7191,0.4142,24.76504574,-2.522508103,-2.208789317,0.812869493,2.322798358,2.34402491,0.651225802,0,0,0,0.0156929,-0.003585515,0.021603646,0.004092214,0.03347464,0.033322058,0.006463056,0.01364671,0.023481101,0.005697177,0,0,0,0.001358193,0.000850495,0.001692755,0.00418266,1.0185034,0.018648273,0.000253349,0.259127375,9.653102072,41.68224921,49.64078505,-38.49968273,0.001036368,-0.002401745,0,0,0.000358851,0.000351482,-0.037757384,-1.991110497,8.637579167,-0.024559019,-0.00742438,0.6216091,0.008444976,-0.818633965,-0.247479318,0.621666463,0.018649994,0.855223702,56,6488.877723,792.6990185,194.6663317,23.78097056,0
5,macs0416_56,1.9907,64.12553891,-24.14582206,23.13677135,f814w_w_f814w,2,0.9359,0.288,0.6479,26.41621145,-1.576236145,-1.0165382,1.145984494,1.601745498,3.662574909,0.090207314,0,0,0,-0.024099316,-0.001895435,-0.000849779,-0.052457244,0.183285476,0.062185864,0.040680979,0.049773621,0.157135696,0.013421721,0,0,0,0.003608541,0.001916146,0.00239938,0.005764104,0.472525141,-0.012474548,-0.02717634,0.310587458,-36.59666384,48.28601587,-48.91153102,-52.11504415,-0.005282833,-0.029879809,1,0,0.000447427,0.000339996,-0.552157365,-1.686965477,10.35291526,-0.010774989,0.023385469,-0.415818262,-0.905877986,-0.359166296,0.779515637,0.99675461,0.029902638,0.85828029,55,5889.404126,791.6175967,176.6821238,23.7485279,0
9,macs0416_85,4.3139,64.13379561,-24.14423583,39.82716496,f814w_w_f814w,2,71.9722,72.8357,-0.8635,25.47984918,-1.524049937,-2.467190047,1.263286819,1.393781218,2.119160517,1.206450657,0,0,0,-0.02007414,0.007621208,-0.002180313,0.02239095,0.045549967,0.07139855,0.020526041,0.02878422,0.058701302,0.015693797,0,0,0,0.006744182,0.003237446,0.003068264,0.003255234,0.474100633,-0.011127226,0.015006079,0.251228161,-39.52713959,-33.82049352,4.53774328,112.2482431,-0.006885206,0.001106597,1,0,0.000390391,0.00034867,-0.223982385,-1.944692794,8.374272037,-0.006766601,0.000236337,-0.37090754,0.500202637,-0.225553355,0.007877916,0.622715891,0.018681477,0.225690889,52,4985.28358,982.0225559,149.5585074,29.46067668,0
10,macs0416_87,1.8419,64.12105664,-24.14426388,30.96568912,f606w_w_f814w,2,1.102,0.6909,0.4111,25.4942307,-0.854189177,-0.876038367,0.727197921,2.276185939,2.803225984,0.962506975,0,0,0,-0.034756633,-0.015736648,0.004831188,0.017207682,0.046596245,0.066242497,0.0110961,0.01383653,0.018510848,0.009020777,0,0,0,0.001903591,0.001684093,0.001884243,0.002928479,0.696786105,-0.014962723,0.000735517,0.229043136,-22.57436445,19.03268763,31.98895886,70.57904846,-0.004358081,0.010697835,0,0,0.000278716,0.000345897,0.438733464,-1.800401271,7.634771188,-0.024625099,-0.032208813,-0.498757417,0.024517237,-0.82083662,-1.073627108,0.499359646,0.014980789,1.351461403,51,6380.243644,978.5460737,191.4073093,29.35638221,0
13,macs0416_104,0.9041,64.1337547,-24.14343437,35.65980343,f606w_w_f814w,2,1.1733,1.3451,-0.1718,25.17502939,-0.839092507,-2.513549238,1.162671972,1.497121964,1.978145142,-1.172489565,0,0,0,-0.014701377,-0.001125115,0.00220014,0.017246086,0.01687699,0.033691234,0.008011357,0.01233214,0.023736912,0.008722365,0,0,0,0.003149327,0.001938273,0.001796147,0.001868213,0.636197618,-0.006250618,0.008060485,0.240089154,68.56967429,17.4270869,30.11732651,59.09599903,0.010741028,0.008652035,0,0,0.000329776,0.000350525,0.124338724,-1.980071276,8.002971797,-0.010650899,-0.010310716,-0.208353937,0.268682837,-0.35502997,-0.343690528,0.340002691,0.010200081,0.494135061,49,4989.76681,1078.197871,149.6930043,32.34593614,0
15,macs0416_112,0.7141,64.12998904,-24.14344197,21.69695033,f606w_w_f814w,2,1.3125,1.5119,-0.1994,26.0387366,-1.493147821,-0.945242087,0.731031891,2.072004281,1.666015454,0.875423502,0,0,0,-0.008830452,-0.033994289,0.001863656,-0.030796778,0.045118118,0.050449581,0.012285526,0.02705867,0.038758454,0.019255537,0,0,0,0.007662404,0.006075229,0.00550694,0.006485152,0.446361914,-0.003483398,-0.032395533,0.145729736,-11.66157253,-8.823408956,-0.080323792,-9.078053072,-0.01023488,-0.014989614,0,0,0.000282275,0.000346922,0.417103658,-1.822456146,4.857657872,-0.007210711,-0.035593044,-0.116113263,-1.079851106,-0.240357023,-1.186434814,1.086075826,0.032582275,1.210536685,33,5402.121366,1077.266696,162.063641,32.31800088,0
17,macs0416_119,0.8307,64.12574984,-24.14290736,58.37036793,f606w_w_f814w,2,1.217,1.4431,-0.2261,24.42447821,-0.378898517,-1.013519347,0.768966642,2.657333086,1.659515367,-1.363552887,0,0,0,-0.050440448,-0.000194791,-0.02187866,-0.005477613,0.013390446,0.018814596,0.003917891,0.01072365,0.009889452,0.004817063,0,0,0,0.001179948,0.000658487,0.000833457,0.001029991,0.998110581,-0.036159554,-0.002836202,0.209349005,-36.12250532,4.080011731,-20.65391389,26.7688773,-0.009953681,0.003401106,0,0,0.000342799,0.000348975,0.039074022,-1.991765083,6.978300183,0.007597766,0.00244662,-1.205318458,-0.094540071,0.253258867,0.081554006,1.209020434,0.036270613,0.266065988,46,5866.335645,1141.38474,175.9900694,34.2415422,0
18,macs0416_121,0.8934,64.13763592,-24.14326078,20.17633973,f814w_w_f814w,2,0.8542,2.0043,-1.1501,26.44884399,-2.332937913,-1.384941388,0.87837216,3.420178643,1.223074994,1.185158275,0,0,0,0.021967313,-0.012526702,0.005559361,-0.009760637,0.170660232,0.210752226,0.040076129,0.13081616,0.070812082,0.155030393,0,0,0,0.013230549,0.008447321,0.008954498,0.014568344,0.390996127,0.013763337,-0.011143669,0.216793114,0.920344238,-3.03406109,-16.80168056,19.03258682,0.000906611,0.001027474,0,0,0.000257004,0.000338534,0.559573739,-1.68372599,7.226437138,0.002644615,-0.013909734,0.458777913,-0.371455643,0.088153818,-0.463657816,0.590302015,0.01770906,0.471963627,46,4564.75659,1099.037716,136.9426977,32.97113148,0
19,macs0416_131,0.9454,64.12289377,-24.1423053,69.86131561,f814w_w_f814w,2,1.0179,1.3156,-0.2977,24.62092428,-1.713429588,-0.890097176,1.44931245,1.690565869,2.02108965,0.777852725,0,0,0,-0.0008633,0.001739386,-0.014222025,0.017048347,0.03632625,0.037210864,0.009001982,0.016543865,0.024914834,0.007992896,0,0,0,0.00254666,0.002069958,0.002452614,5.17E-05,0.725450379,-0.007542662,0.009393867,0.409264719,-98.85811621,9.744978312,-73.27391557,423.8807325,-0.006479581,0.004597608,0,0,0.0003425,0.000351924,0.056165387,-1.993077797,13.64215729,0.020901387,-0.005915094,-0.251422071,0.31312889,0.696712911,-0.197169798,0.401575347,0.01204726,0.724075141,81,6179.095746,1213.600738,185.3728724,36.40802215,0
23,macs0416_161,3.7255,64.14414709,-24.1417713,23.51166872,f814w_w_f814w,2,1.951,1.908,0.043,27.4742289,-1.232074382,-2.400579871,1.186454971,1.122416303,1.448821199,1.492015581,0,0,0,-0.033444844,0.023999166,0.013176511,0.064994405,0.082785866,0.102162489,0.048394142,0.056214268,0.108165884,0.102310447,0,0,0,0.020567725,0.014738907,0.008538727,0.009981114,0.577148064,-0.010134167,0.044496786,0.160323688,-0.699569679,-4.699561202,11.50154026,-12.08578485,0.000290791,-0.012056261,0,0,0.000340694,0.000350568,0.059027749,-1.992737321,5.344122945,-0.036487188,0.003501547,-0.337805553,1.48322619,-1.216239614,0.116718237,1.521207587,0.045636228,1.221827298,31,3851.748049,1277.762972,115.5524415,38.33288917,0
