,id,X_IMAGE,Y_IMAGE,ra,dec,z_use,f_F814W,f_F606W,f_F435W,e_F814W,e_F606W,e_F435W,mag_F814W
7759,20001,2360.050136847128,5997.393092912831,64.157763,-24.102439999999998,0.3428,206.15,86.4748,15.9229,1.13785,0.702675,0.41073699999999996,19.214541652156555
7760,20002,2152.474785900645,5989.32319434343,64.159658,-24.102507,0.3434,89.6767,37.2,6.9983,0.832059,0.46866199999999997,0.18698299999999998,20.118300954148218
7761,20003,2429.821926403853,5247.521517947004,64.157127,-24.108689000000002,0.603,77.952,23.4079,3.36685,0.573541,0.252197,0.129636,20.27043184429814
7762,20004,3046.0583701140795,4155.109560430396,64.15150200000001,-24.117793,0.5127,84.9421,32.2348,5.51475,0.573581,0.354102,0.204576,20.17719251567621
7763,20005,4876.758421367655,2788.7283412777397,64.134787,-24.129179999999998,0.5593,49.0745,14.8448,2.24172,0.277972,0.194753,0.154155,20.772860291385463
7764,20006,5656.648243704895,4703.050284309973,64.127667,-24.113227,0.3033,80.0303,33.0951,6.09845,0.633108,0.41471499999999994,0.21189499999999997,20.24186388778821
7765,20007,5020.333075550728,6561.888662336674,64.133477,-24.097737,0.5051,32.1813,10.7456,1.66526,0.183299,0.111463,0.130617,21.23099104016497
7766,20008,1593.5512465217125,4019.18609106428,64.164764,-24.118924,0.3024,140.80700000000002,67.7754,18.1148,2.21025,1.18021,0.951026,19.62843938596406
7767,20009,1765.5660101542771,3688.976889756584,64.16319399999999,-24.121676,0.3055,174.88299999999998,92.3629,25.8529,3.20547,1.8115,1.91913,19.393131013253335
7768,20010,4088.722076767806,1460.6871915330757,64.141983,-24.140247,0.0173,57.8423,19.1485,3.79317,0.355052,0.333036,0.177839,20.59438611598468
7769,20011,7617.669109260038,4691.853503068679,64.109763,-24.113318,0.3002,203.28400000000002,95.7036,19.4083,1.11113,0.587205,0.350028,19.229742005755636
7770,20012,8178.716055732155,6244.2904839055545,64.104644,-24.100379999999998,0.3965,83.8645,37.7589,7.637,1.8564900000000002,0.698182,0.363118,20.19105459485214
